model,environment,seed,activity,direct_precision,direct_recall,direct_f1,slot_precision,slot_recall,slot_f1,support,direct_mean_probability,slot_mean_probability
strict_lejepa,classroom,42,rotation,67.77777777777779,66.30434782608695,67.03296703296702,63.10679611650486,70.65217391304348,66.66666666666666,92,0.3001100718975067,0.33406969904899597
strict_lejepa,classroom,42,jump,67.74193548387096,79.74683544303798,73.25581395348837,64.21052631578948,77.21518987341773,70.11494252873564,79,0.3159428536891937,0.3387570083141327
strict_lejepa,classroom,42,wave,70.1923076923077,84.88372093023256,76.84210526315789,70.52631578947368,77.90697674418605,74.03314917127072,86,0.3420560657978058,0.35379377007484436
strict_lejepa,classroom,42,lie_down,71.29629629629629,83.69565217391305,77.0,64.86486486486487,78.26086956521739,70.93596059113301,92,0.3455846309661865,0.3622976839542389
strict_lejepa,classroom,42,pick_up,58.333333333333336,74.24242424242425,65.33333333333333,58.42696629213483,78.78787878787878,67.0967741935484,66,0.3080101013183594,0.32997608184814453
strict_lejepa,classroom,42,sit_down,56.84210526315789,70.12987012987013,62.7906976744186,56.43564356435643,74.02597402597402,64.04494382022472,77,0.33833369612693787,0.36922407150268555
strict_lejepa,classroom,42,stand_up,67.10526315789474,57.30337078651685,61.81818181818181,65.06024096385542,60.67415730337079,62.7906976744186,89,0.28901684284210205,0.32363396883010864
strict_lejepa,classroom,43,walk,96.7032967032967,92.63157894736842,94.6236559139785,92.3076923076923,88.42105263157895,90.32258064516128,95,0.2719569802284241,0.28307613730430603
strict_lejepa,classroom,43,rotation,62.59541984732825,89.13043478260869,73.54260089686099,62.5,86.95652173913044,72.72727272727273,92,0.3670431971549988,0.37670275568962097
strict_lejepa,classroom,43,jump,58.19672131147541,89.87341772151899,70.64676616915423,57.72357723577236,89.87341772151899,70.29702970297029,79,0.3655594289302826,0.377736896276474
strict_lejepa,classroom,43,wave,73.26732673267327,86.04651162790698,79.14438502673798,67.96116504854369,81.3953488372093,74.07407407407408,86,0.3155357837677002,0.3309088349342346
strict_lejepa,classroom,43,lie_down,79.74683544303798,68.47826086956522,73.68421052631578,78.66666666666666,64.13043478260869,70.65868263473054,92,0.26776009798049927,0.27596282958984375
strict_lejepa,classroom,43,pick_up,50.0,77.27272727272727,60.71428571428571,56.38297872340425,80.3030303030303,66.25,66,0.3302463889122009,0.3411136567592621
strict_lejepa,classroom,43,sit_down,62.92134831460674,72.72727272727273,67.46987951807229,57.42574257425742,75.32467532467533,65.1685393258427,77,0.30894920229911804,0.338243693113327
strict_lejepa,classroom,43,stand_up,69.79166666666666,75.28089887640449,72.43243243243244,60.952380952380956,71.91011235955057,65.97938144329896,89,0.3270943760871887,0.3415364623069763
strict_lejepa,meeting_room,39,walk,94.68085106382979,93.6842105263158,94.17989417989418,95.65217391304348,92.63157894736842,94.11764705882352,95,0.27627161145210266,0.2761131823062897
